sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
D1as/D1-D4-D1at-D1ba-D6,493778,0.021148453993883355,-0.001601347656172261,-0.002071333973800912,-0.0031749710072903167,0.0012476525737946018,-0.004706877831113528,0.00028230654701659664,-0.0002868250726088599,-0.0030033268009223403,0.0019960628026178973,-0.003950038304727389,0.002344043849075266,0.005475938939434032,0.0018225756799021724,-5.5057744382184586e-05,-7.45680905546371e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D4-D1at-D6-D1ax-D1ba,493780,0.0078016536492816245,0.005501116027938959,0.0020142711488575675,0.00044372306985510643,-0.001912613728913761,-0.005061893175589391,-1.3531020022068621e-05,-0.0006310883859833925,-0.0052501429721970245,-5.144706435904677e-05,-0.005346085218476644,-0.0005843824023269095,-0.0015375262140091901,-0.0008479871501323531,-0.00197342824206671,0.0008086707011171671,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D17d-D4-D1r-D17e-D17c-D17j,493849,0.011727978105623833,0.07051460968749616,-0.017886015649726007,0.02473934854678402,0.019529686913694368,0.00693078497578184,-0.00034446426152089305,0.001476576294815508,0.0024270922558647903,0.002380404129681265,-0.006807995050829054,-0.004952563504598304,0.00022362021831950132,-0.00029197928715602627,-0.00024089160808512722,-7.780891350083669e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1at-D4-D6-D1bb-D1ba-D1ax-D1bd,494010,-0.0030632378107641853,0.0005743801505793237,-0.009949127469385309,-0.006273079107277753,-0.001757211175627899,-0.0008176195806210558,0.0009161922247816308,0.0009865556058142226,-0.0044332957539201506,-0.0008914174750637799,0.0018345245099604054,-0.004434993556921464,-0.0007739270703262382,0.0010852338420965842,0.0013691511347700808,0.0010643804281166812,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1as-D1ba-D1bb-D4-D6-D1ax-D1at-D1ea-D1dy,494012,0.001949347129796324,-0.010604800173637265,-0.020992796821161192,-0.012573165287176283,0.0003878181127838491,0.0068042192814532715,0.0019007182853291546,0.0010889021666008305,-0.001234978436875088,-0.00828496478304463,-0.002225758047148759,0.0010800797234748142,0.003747958739725105,-0.0016016610736722433,-2.5842476395654097e-05,0.00038886770799885934,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd,494017,-0.004077770701159784,-0.0127277064697678,-0.016892749461030986,-0.009145917060390986,0.001896914408725599,0.010849706548797208,0.001342992727205436,0.001433321946113565,0.003576392399604734,-0.001682066897166392,-0.003316104212747204,0.002821457478183987,-0.0020130642416760786,0.0003528642570001671,-0.00027349292983532355,-0.001097675074862454,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1ba-D1bb-D1bd-D4-D1at-D1dy-D1ax-D1ea,494019,0.002300132955201619,-0.015881471905513457,-0.007672445142489051,-0.003225068679828823,0.0023784748592415817,0.011469197906542638,0.0007069822344108211,0.0012643510332058779,0.00726902112722606,-0.0019676773784942014,0.004663599306711385,-0.00012119516521273991,-2.5246005677476256e-05,-0.0028866649561864505,0.00014618440321531034,0.0011761937628512395,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1ba-D1as-D1bb-D1at-D4-D6-D1bd-D1ax-D1ea,494020,-0.00614384201001127,-0.012114137199544624,-0.01722922493716013,-0.0073404117914179084,0.0019114452344173149,0.0070668245091168175,0.0009606987611249677,0.003187691090053652,0.0011945496852005175,0.0010363486676793286,-0.002975031192231498,0.0010859685313984733,-0.0051421577832275675,0.0020755362800664048,-0.0011094897845433341,0.00041083393051699515,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4,494143,0.0078021854898425195,0.039019014125410395,-0.0024432737625174786,-0.023325654479446654,-0.02172931603604342,-0.03302895428087813,0.002826965896939969,-0.007118234125119688,0.016089436790068325,0.0015971919247898664,-0.0008173060618374369,-0.0003651958823611566,7.875994506639536e-05,-0.00015522847152245347,-5.450062048123909e-05,0.00020562621003598393,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1dy,494254,0.007310942996571976,0.033791471015341884,0.026439764311367936,-0.012598975448955576,-0.02437773155942049,0.028989709585764602,0.004372861828262,-0.03271081840252388,-0.0035370779032441475,0.0018011020568061338,-0.0003332920021687532,0.00047988971322535405,0.00012869695654031855,0.00011053569744557933,-1.8274719840679277e-05,7.673501549211541e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
