sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
D1mz,494252,0.44788790318142985,-0.06234641149047657,-0.029741332881371308,-0.09079143742979844,0.14232798099845143,0.097922593090994,-0.10821748418953318,-0.011535213135253533,0.09694461526082036,0.6154329017411578,-0.039444881626151354,-0.005525208058477378,0.0032941918259659976,0.0016493238293474781,0.006670083195113099,-0.00038301180709306707,0.0005055581150970154,-0.0011875318397162819,-0.0013762149009128948,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1na,494253,0.44788790318142985,-0.06234641149047657,-0.029741332881371096,-0.09079143742979816,0.1423279809984508,0.0979225930909814,-0.2996982665836374,-0.388407242802015,-0.3633448233661231,-0.16523105664112123,-0.0394448816261513,-0.005525208058477385,0.0032941918259659923,0.0016493238293474927,0.006670083195113159,-0.00038301180709307103,0.0005055581150970022,-0.0011875318397162773,-0.0013762149009128874,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1dy,494254,0.41548765934941795,-0.13873072134326092,-0.16474635315113825,-0.32002864221468535,-0.4947885894179818,-0.23509985038773348,3.1333546529033654e-15,-1.5202758291767005e-15,3.508518331083788e-15,1.8675258341098112e-15,-0.018290817110291773,0.01751930832057087,-0.05334678971828573,0.03802704784706286,0.0030135458257570403,0.002304326400807012,-0.007263825147417753,-0.004396252677764294,0.0005134422185921329,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1ig,494256,0.44788790318142974,-0.06234641149047666,-0.029741332881371395,-0.09079143742979828,0.14232798099845098,0.09792259309098877,0.4696802332854948,0.23355629140222264,-0.35278027116383603,-0.019950375557700403,-0.039444881626151326,-0.005525208058477356,0.003294191825965971,0.0016493238293474963,0.006670083195113125,-0.00038301180709308187,0.0005055581150970054,-0.001187531839716272,-0.0013762149009128905,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1mw,494255,0.43871573706836464,-0.08540278331397294,0.04255398220256574,0.3085254000098471,0.1739477732800881,-0.5581265614884329,2.7457651981048387e-15,1.6637803918077804e-15,1.5662675383728905e-15,6.340029773073826e-15,0.0068651775688173015,0.026034073707983805,0.006401938625474743,-0.013675647314200637,-0.0024737154833651734,-0.0005136944066165248,0.0061382102486585806,0.0030283909622363303,0.000100406111445302,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1nb,494257,0.44788790318142974,-0.06234641149047666,-0.029741332881371416,-0.09079143742979864,0.1423279809984506,0.09792259309098425,-0.3274989787587248,0.4577701994736856,0.16392602263436515,-0.237316502774443,-0.039444881626151326,-0.005525208058477349,0.003294191825965971,0.0016493238293474963,0.006670083195113102,-0.00038301180709309965,0.0005055581150969988,-0.0011875318397162648,-0.001376214900912889,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1ba-D1as-D1at-D4-D6-D1ax-D1bb,493774,-0.30326433251034074,-0.020805930704084524,0.02324125303968701,-0.022395532307416192,0.043771207547019686,-0.0015077483492498774,7.534273843391678e-17,-4.5788490446132354e-17,-2.341331499583028e-16,2.387059463544062e-19,-0.02490862244746895,0.023899000847678056,-0.0895136899350472,-0.012222930997008611,0.004066514509280858,0.03284481528529051,-0.03102467558515476,-0.007581800937285113,0.02516925789889208,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1as/D1-D4-D1at-D1ba-D6,493778,-0.28736106654629445,-0.013510223529756435,0.015071675865091321,-0.039415289134947525,0.05169010366621023,-0.0006446791721151639,-1.2956855608126038e-16,1.805804086151595e-16,6.849864258583755e-17,5.924809769003271e-17,0.06278544144394534,0.15040435854173745,-0.0249371331623913,0.017330360744711587,0.09152519415460993,0.03888050791663743,0.022319793487135666,0.004374783289356906,0.0027261881439387264,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D4-D1at-D6-D1ax-D1ba,493780,-0.2926486217263785,0.03983909634111093,0.02404345330212622,-0.02462829241094314,0.039524427047813164,-0.0009992244077375533,-2.2899576800228764e-17,1.0753677965855692e-16,-1.5945145514359444e-16,-6.008813882848171e-17,0.023278387006817922,0.040822018647471474,-0.0884749785486224,0.0030721251142803337,-0.001531266954894957,-0.028485732085521385,-0.048662400599307244,0.039656150739296736,-0.019074782642345408,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D17d-D4-D1r-D17e-D17c-D17j,493849,-0.04277637982384518,0.4195340430239604,0.06453492700860046,0.03710785383447538,-0.07493185168748198,0.0023932629603711387,-6.799594439882947e-17,4.1399400786899916e-17,5.723991942222694e-17,-6.417121418791533e-17,-0.22833650550558268,0.0449788398537,0.09252722625300434,0.01455852463613521,-0.03262074909037396,0.06872206746819522,-0.0074196585840896915,0.01605801940461954,-0.007240783682580572,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
