"ID","symbtypes","relative","absolute","colony","Region","Locality","replicate","Site","Season","Qubit..ng.uL.","species","clade","symbtypes_s","species_colony"
"ML6224","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",4732,0.822098679638638,199,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Saboga","Non-upwelling","382",NA,"D","D1","NA 199"
"ML6186","C1d-C42.2-C1nq-C1mt-C1",408,0.0499938732998407,157,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","13.8","P.meandrina","C","C1d","P.meandrina 157"
"ML6186","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",6674,0.81779193726259,157,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Non-upwelling","13.8","P.meandrina","D","D1","P.meandrina 157"
"ML6272","C1d-C1mt-C1nq",420,0.0420841683366733,215,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Machete","Non-upwelling","411","P.meandrina","C","C1d","P.meandrina 215"
"ML6272","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",8135,0.815130260521042,215,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Machete","Non-upwelling","411","P.meandrina","D","D1","P.meandrina 215"
"ML6120","C1d/C1-C42.2-C3-C1b-C3cg",569,0.0775098760386868,215,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Machete","Wet","183","P.meandrina","C","C1d","P.meandrina 215"
"ML6120","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",5982,0.814875357580711,215,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Machete","Wet","183","P.meandrina","D","D1","P.meandrina 215"
"ML5996","C1d/C42.2/C1/C3cg-C1b-C3cw-C115k-C45c",1198,0.043113686256163,223,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Machete","Upwelling","384","P.verrucosa","C","C1d","P.verrucosa 223"
"ML5996","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",22624,0.814193687695685,223,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Machete","Upwelling","384","P.verrucosa","D","D1","P.verrucosa 223"
"ML6303","C1d-C42.2-C1-C1k-C1b-C3cg",319,0.0612284069097889,226,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Granito","Non-upwelling","550","P.meandrina","C","C1d","P.meandrina 226"
"ML6303","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",4229,0.811708253358925,226,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Granito","Non-upwelling","550","P.meandrina","D","D1","P.meandrina 226"
"ML6022","C1d-C1mt-C1nq-C42.2-C1-C42em",2243,0.0982479194042926,167,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","149","P.verrucosa","C","C1d","P.verrucosa 167"
"ML6022","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",18528,0.811563731931669,167,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","149","P.verrucosa","D","D1","P.verrucosa 167"
"ML6271","C1d/C42a/C42.2-C1mt",416,0.0566371681415929,215,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Machete","Non-upwelling","600","P.meandrina","C","C1d","P.meandrina 215"
"ML6271","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",5950,0.810074880871341,215,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Machete","Non-upwelling","600","P.meandrina","D","D1","P.meandrina 215"
"ML5900","C42a/C42.2-C42ak-C1-C1b-C42al",1984,0.0530665739428144,201,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Upwelling","233","P.meandrina","C","C42a","P.meandrina 201"
"ML5900","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",30236,0.808730307326076,201,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Mogomogo","Upwelling","233","P.meandrina","D","D1","P.meandrina 201"
"ML6304","C1d/C1bi-C42.2-C1",545,0.0697823303457106,226,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Granito","Non-upwelling","454","P.meandrina","C","C1d","P.meandrina 226"
"ML6304","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",6311,0.808066581306018,226,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Granito","Non-upwelling","454","P.meandrina","D","D1","P.meandrina 226"
"ML6305","C1d-C42.2-C1-C1k-C1b-C3cg",505,0.0787585776668746,226,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Granito","Non-upwelling","174","P.meandrina","C","C1d","P.meandrina 226"
"ML6305","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",5142,0.801933873986276,226,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Granito","Non-upwelling","174","P.meandrina","D","D1","P.meandrina 226"
"ML6063","C42a/C1-C42.2-C42b-C1az-C1b-C115d-C1au",2900,0.0988512799536422,203,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Wet","39.5","P.meandrina","C","C42a","P.meandrina 203"
"ML6063","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",23454,0.799468248287146,203,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Wet","39.5","P.meandrina","D","D1","P.meandrina 203"
"ML6356","C1d/C42a/C42.2-C1-C1b",707,0.0721575831802409,206,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Non-upwelling","190",NA,"C","C1d","NA 206"
"ML6356","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",7822,0.798326189018167,206,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Non-upwelling","190",NA,"D","D1","NA 206"
"ML5994","C1d-C42.2-C1-C1k-C3cg",801,0.0365803534730785,223,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Machete","Upwelling","47.4","P.verrucosa","C","C1d","P.verrucosa 223"
"ML5994","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",17432,0.796090788692515,223,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Machete","Upwelling","47.4","P.verrucosa","D","D1","P.verrucosa 223"
"ML5995","C1d/C1bi-C42.2-C1",429,0.0225208672371253,223,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Machete","Upwelling","279","P.verrucosa","C","C1d","P.verrucosa 223"
"ML5995","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",15155,0.795579820463016,223,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Machete","Upwelling","279","P.verrucosa","D","D1","P.verrucosa 223"
"ML6122","C1d-C42.2-C1-C1b-C3cg-C3cw",766,0.070514590812851,215,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Machete","Wet","66.6","P.meandrina","C","C1d","P.meandrina 215"
"ML6122","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",8629,0.794347786062782,215,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Machete","Wet","66.6","P.meandrina","D","D1","P.meandrina 215"
"ML6182","C1d-C1mt-C1nq-C42.2-C1-C42em",690,0.0878980891719745,155,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","25.9","P.meandrina","C","C1d","P.meandrina 155"
"ML6182","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",6217,0.791974522292994,155,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Non-upwelling","25.9","P.meandrina","D","D1","P.meandrina 155"
"ML6235","C1d/C42a/C42.2-C1mt",344,0.0561266111926905,188,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Non-upwelling","247","P.meandrina","C","C1d","P.meandrina 188"
"ML6235","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",4844,0.790341001794746,188,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Saboga","Non-upwelling","247","P.meandrina","D","D1","P.meandrina 188"
"ML6013","C42a/C42.2/C3-C1-C1b-C1au",2482,0.100024179898444,159,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","80.3","P.verrucosa","C","C42a","P.verrucosa 159"
"ML6013","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",19607,0.790158781333118,159,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","80.3","P.verrucosa","D","D1","P.verrucosa 159"
"ML5881","C1d-C1mt-C1nq-C42.2-C1-C42em",5229,0.127000704345081,175,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","28.4","P.verrucosa","C","C1d","P.verrucosa 175"
"ML5881","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",32516,0.789740849585894,175,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","28.4","P.verrucosa","D","D1","P.verrucosa 175"
"ML5905","C42a/C42.2-C42ak-C1-C1b-C42al",5016,0.1347843611447,203,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","38.7","P.meandrina","C","C42a","P.meandrina 203"
"ML5905","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",28789,0.773585919656053,203,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","38.7","P.meandrina","D","D1","P.meandrina 203"
"ML6095","C1d-C42.2-C1-C1nr",786,0.0752369101177371,206,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Wet","24.7",NA,"C","C1d","NA 206"
"ML6095","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",8043,0.769886091700967,206,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Wet","24.7",NA,"D","D1","NA 206"
"ML6154","C1d-C42.2-C1-C1nr",991,0.082274802822748,226,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Granito","Wet","37.2","P.meandrina","C","C1d","P.meandrina 226"
"ML6154","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",9234,0.766625155666252,226,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Granito","Wet","37.2","P.meandrina","D","D1","P.meandrina 226"
"ML6199","C1d-C42.2-C1-C1b-C3cg-C3cw-C45c",695,0.120659722222222,166,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","253","P.meandrina","C","C1d","P.meandrina 166"
"ML6199","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",4414,0.766319444444444,166,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","253","P.meandrina","D","D1","P.meandrina 166"
"ML5860","C1d-C1mt-C1nq-C42.2-C1-C42em",3815,0.155024584501605,158,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","7.67","P.meandrina","C","C1d","P.meandrina 158"
"ML5860","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",18809,0.764313868909749,158,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling","7.67","P.meandrina","D","D1","P.meandrina 158"
"ML6281","C42a/C42.2/C1/C42b-C1b-C1az-C1au-C3",563,0.0635942618321473,217,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Machete","Non-upwelling","600","P.meandrina","C","C42a","P.meandrina 217"
