sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
172329	ML6241	6241_S236_L001_R1_001.fastq.gz	3ad7c7f59625d72df10bd7a80622413e24ed61eca902f7a339813a5794ef7ebe	6241_S236_L001_R2_001.fastq.gz	72f13004e5636308daf0dafa9491ce322f4a174eba734e6f54e2dd2e7ff5ded8	899	20231006T210441_mleray	28466	10648	529	10648	529	0	0	0	0	10091	38	0	0	93	104	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172304	ML6216	6216_S221_L001_R1_001.fastq.gz	61af34a504ef3410fed5322159a70e674eb1c36652e58d892e8fde1073e49543	6216_S221_L001_R2_001.fastq.gz	1917dd4b1d0137231a734351659d6b1ca8de2fab0b63dc1d3d0198d1da0213e4	899	20231006T210441_mleray	17968	7977	350	7977	350	0	0	0	0	7657	44	0	0	112	142	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
172306	ML6218	6218_S245_L001_R1_001.fastq.gz	5787c3b265dc50fbf4cd661fed42c706cb187cac41dbaaa9e899d9a057e61c9f	6218_S245_L001_R2_001.fastq.gz	03cd6cbeb41d484ef6af5f698ca89abeef8458b74b4db72f0ff38ce6c4aeb3d3	899	20231006T210441_mleray	19547	8305	398	8305	398	0	0	0	0	7904	42	0	0	139	126	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
172311	ML6223	6223_S210_L001_R1_001.fastq.gz	a66349249e32b76569985fcb3857942262c377ce54cddd1689084274958ba264	6223_S210_L001_R2_001.fastq.gz	7e9060ec4d7c0e8e6c31b7c936aaa524a258c2180aee89388435817bc1dd4346	899	20231006T210441_mleray	22082	9047	406	9047	406	0	0	0	0	8563	41	0	0	481	123	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
172332	ML6244	6244_S177_L001_R1_001.fastq.gz	2f0bd85a0a73e766ab04f9480f1295f7d79c36e9d696ec66b6cf2ec1e04b9a20	6244_S177_L001_R2_001.fastq.gz	2a5eb680634127284437a2592ff437429ec8db60e99658fc918081b3cbd9e8c6	899	20231006T210441_mleray	15500	6158	313	6158	313	0	0	0	0	5769	60	0	0	202	66	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
171976	ML5906	5906_S166_L001_R1_001.fastq.gz	a62e1f444fa9f7e942ae4b57c125ce17d4ebe81a2cbf866cf40ba159e8a91000	5906_S166_L001_R2_001.fastq.gz	420fa21838b05ee03d1f05c5571a081c5d57d8d56bbbbf1fc2c2800a068454c9	899	20231006T210441_mleray	47202	33270	1293	33270	1293	0	0	0	0	31544	35	0	0	933	366	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172288	ML6200	6200_S219_L001_R1_001.fastq.gz	6133d243b4940c8f736e2666155587e8749bdc426ef9443bad6b69bb8048c6f5	6200_S219_L001_R2_001.fastq.gz	42dada39e9cc80ea2e50a4e0a2c7aed0aea123b090709d07d8d7e0cd44f36a65	899	20231006T210441_mleray	25116	9393	473	9393	473	0	0	0	0	8931	44	0	0	129	117	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172297	ML6209	6209_S232_L001_R1_001.fastq.gz	356e25df8b005876720155547b0d659180a8c95d5bf0e66fef96163f46da87f4	6209_S232_L001_R2_001.fastq.gz	a727676b7b5fb564fdf22ea8ae529c11bb97dc03d92bccdb581634b2ea1e154d	899	20231006T210441_mleray	22577	9993	492	9993	492	0	0	0	0	9566	43	0	0	148	170	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172299	ML6211	6211_S256_L001_R1_001.fastq.gz	2c19841b4b911ac25197b54345f39694d71de1fc646c78942452a5b55ba9b0c9	6211_S256_L001_R2_001.fastq.gz	79ed77699e15f530eb17e861193a871fd6e75a6fbc3111c94fb0c69a39613146	899	20231006T210441_mleray	18797	7355	373	7355	373	0	0	0	0	6982	48	0	0	154	71	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
172284	ML6196	6196_S171_L001_R1_001.fastq.gz	de3102caa86cba539f06ce2ce144f39ca218547456f3f6718777874153f51fd7	6196_S171_L001_R2_001.fastq.gz	8b2970bbfae8f20c54e8f40fefae1526a2ff22008d1009b09a887a45d7429c8e	899	20231006T210441_mleray	24206	10526	523	10526	523	0	0	0	0	9862	42	0	0	175	0	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172293	ML6205	6205_S184_L001_R1_001.fastq.gz	33c92f08903df3d23162b32592e43f77c08ef20422746aa0d7f685e1c155fe6e	6205_S184_L001_R2_001.fastq.gz	e958ee9457b827593ebe8b92421ced3f59d4c3ee2cef30f174e80eb602b8dd22	899	20231006T210441_mleray	24049	9976	438	9976	438	0	0	0	0	9562	47	0	0	122	144	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172294	ML6206	6206_S196_L001_R1_001.fastq.gz	fd7be1cc862bb742030aee9f5cd9aedd23d540039b1ce618e41c6ade1914b88a	6206_S196_L001_R2_001.fastq.gz	9ba6626b960020f45c337b66bad5a485b9bc8801e0b53558db2828ce6fa7cc7c	899	20231006T210441_mleray	25203	9934	470	9934	470	0	0	0	0	9565	45	0	0	140	191	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172155	ML6085	6085_S346_L001_R1_001.fastq.gz	84bf2ee03b576505212fd96ce79094bf44bd9ab5127221077086869e67a67b93	6085_S346_L001_R2_001.fastq.gz	49dea1c973ca198a8415e9d6653703ba0a3920c598c0221757c0a5ad5548ff94	899	20231006T210441_mleray	40007	23208	932	23208	932	0	0	0	0	21894	40	0	0	432	312	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172353	ML6265	6265_S239_L001_R1_001.fastq.gz	88cb9a29a06d3b1489ce6c2190fbabbe46ec08efdc28322784645b4f1b13be68	6265_S239_L001_R2_001.fastq.gz	a5ddb315db840bd90e75bc6b159c58c21cf6d05b42ed01b913cf71d966a2093f	899	20231006T210441_mleray	23443	10086	509	10086	509	0	0	0	0	9353	46	4	0	124	74	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172352	ML6264	6264_S227_L001_R1_001.fastq.gz	21909deae1455e4fde6da40cb8e9826517b32a6c96fae2e12181c9edac22936c	6264_S227_L001_R2_001.fastq.gz	19cd20856bfa50dabdf281eb9237a065f8cb1263c2b603ec46392fc5a8c5a0fc	899	20231006T210441_mleray	25142	11522	541	11522	541	0	0	0	0	10978	41	0	0	142	174	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172340	ML6252	6252_S178_L001_R1_001.fastq.gz	d759eca090547f6c06707a28de855bcfa68cc0d8b922243fd5d5990974b0d7b9	6252_S178_L001_R2_001.fastq.gz	a2aa2790f5982cf49631917d83c8e4b3444657755cff90848da504c21436e4ec	899	20231006T210441_mleray	12153	5560	260	5560	260	0	0	0	0	5271	46	0	0	83	75	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172298	ML6210	6210_S244_L001_R1_001.fastq.gz	98350024d120404d48945e9477bf81416a725b33d07b5883b5bbc677c2f5a38d	6210_S244_L001_R2_001.fastq.gz	e356cca70f6c440bbe5d9cba5b8aedd7cbe96875265002482ca8ebaa39f5d9c0	899	20231006T210441_mleray	23337	8543	403	8543	403	0	0	0	0	8152	42	0	0	119	112	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
172296	ML6208	6208_S220_L001_R1_001.fastq.gz	cb4258e221c954ba44d02010611832821d6834eb8a5b8ddf28d48f463a24ba57	6208_S220_L001_R2_001.fastq.gz	9c7a10949bf790421740453580e959401fc3e1bd5fe2f7993f580ff596c6f068	899	20231006T210441_mleray	23525	10503	499	10503	499	0	0	0	0	10077	41	0	0	124	135	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
