sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63
C1d-C42.2-C1-C3cg-C1b,491691,0.173385854348749,-0.08616893384026372,-0.010627484855820796,0.019934671647010398,-0.04597696666966326,-7.470243254766977e-06,0.018778333872537994,0.03097677525884204,0.014255596701417614,-0.07292653030577882,0.028039287891650708,-0.018112918266373856,-0.004607495169792611,0.0006368841224494446,-0.0006711700937742716,-0.007816919930361817,0.0024232889279975855,-0.0026227650519566265,-0.0446593153965509,0.012572847535176864,0.016660202173799266,-0.002987434448731073,-0.017302987739577128,-0.0002752131791306457,0.007793784301310674,0.0017383222240418134,-0.007789287225091066,0.002889975655960904,0.0016323367694775835,0.000110466911148955,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C42.2/C1-C1b-C3cg-C45c-C115k-C1au,491719,-0.08374512068571854,-0.14446972384854767,-0.21187286156277413,-0.13568239012165856,0.011509929158687487,2.4207158651807905e-05,0.0052990081643172855,-0.07296223150830758,0.029533983001683407,0.027979829053757482,0.03106176157201912,-0.01448150328146048,0.0073667330759842,0.003198340278935557,0.0013300295428394816,-0.020739412562932186,0.002998717761845526,-0.02801952495227812,0.0055367924691118245,-0.0003435646979678218,-0.008755107120053169,-0.007035848801404515,-0.0016788473383822487,-0.025630568709814564,-0.005510754320400858,-5.770403152383991e-05,0.0014438509425440998,-0.0015867661456284066,0.00018067353290217,0.00014680800847807776,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C3cg-C1b-C45c-C115k,491720,0.08185634223355878,-0.1299849449205955,-0.1529093138975514,-0.06165667911260944,0.0038963316309779945,-3.117152642465474e-05,-0.04015521456900095,-0.018959914309247893,0.05747491214045292,-0.04113506289320529,-0.05050433866297466,-0.0021739510419419975,-0.029604490357341865,-0.0014880085289670866,-0.04887884634297508,-0.04849451977097948,-0.00945332137393102,0.016965249096273997,0.01281312584212669,0.018490350904206813,-0.01785081637805157,-0.009671037752438352,-0.0008756799323422413,-0.0048495959990607395,0.0006205843422296643,0.0012750742325086332,0.003544436720550001,-0.0018225907420735465,-0.0007509606744246238,-0.00011650418817747627,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1-C42.2-C1b,491737,0.05233787952227677,-0.05865905697936741,0.013956298175895453,-0.01679046814261461,-0.02732935258702608,2.259482350527376e-05,0.006778891051508691,0.017419113033161383,0.04091195058641444,0.056688580785171507,-0.04298663373445138,-0.0006772878437130621,0.025348832347959614,-0.022394504027591883,-0.0006654395732188987,0.01168596864366618,-0.010189659796288855,-0.0021846731537572208,0.0037222324974461487,0.008349795521329218,-0.01625548870182719,-0.005148378664116749,-0.004529778617875528,-0.002072603314081383,0.006546560866585199,0.0009868114906438081,-0.003720829677292749,-0.0033505705517722067,0.0005623482634700438,0.0003489848188971838,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1-C42.2-C1b-C3cg-C1au,491763,-0.04380495209245689,-0.11143344875556882,-0.0953530832307483,-0.054653586049812575,-0.02314440282052885,5.1908111302984555e-05,0.0886082398336904,0.01728824379514549,-0.0214954935500504,0.03302035507146442,0.05793656931382064,0.008813751804236342,0.03861046654535017,0.03154790316411477,-0.010478756856398617,0.004656938823978945,-0.022730569879082077,-0.041756956481235674,0.012263570230138797,-0.016212773395634466,0.005982147070660139,0.022734390061349224,-0.010119922628346139,0.0010716183694867492,0.0011617116215322334,0.007603624841804132,0.004101151763693582,0.0019784993831204615,0.0001520182820016868,2.4242236880915615e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C1b-C3cg-C3cw,491765,0.09299401052818734,-0.1417758582518217,-0.08949186993152893,0.02021606691361525,0.0008249280057149585,-7.909455087479371e-05,-0.06293639404975969,0.1286203315286959,-0.02305700998229037,-0.02558989984092344,-0.03954117600883018,0.0058891502871742715,-0.022280089848806674,0.022134215011715072,-0.006447502975235149,0.008240299569241528,-0.03333756074002509,-0.023121624171317103,-0.015927897727562996,-0.018553176603722344,0.009002918192549229,0.003185979660270233,0.00239962003495787,0.0012458722120925075,-0.010524291361463312,-0.011032801369088487,0.014726618289190327,0.0010056600269998115,0.0008121930818191835,0.00013327477473592484,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1-C1b-C3cg-C3cw-C45c,491769,0.05001943106009332,-0.14409879598890224,-0.13896825695104276,-0.024439260603323305,0.021881723849491545,-8.41245297613845e-05,-0.09966740023565256,0.11182353194999584,0.00684658869712097,0.037494250871366604,-0.04153536744142928,0.007704342644419029,-0.010555767231375036,0.007275091091522744,0.012173295854145725,0.005873231958490288,0.01165708728116327,0.0007976699518070619,0.006326048725802391,-0.0029666610060976157,-0.025459826127713327,-0.024909820881278473,0.004182779871181568,-0.003679957682809703,0.017341048679163706,0.007976768372447372,-0.0033919087488299476,8.588993523662334e-05,0.0003505274722079571,-3.1353761830366555e-06,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2-C1b-C1-C42b-C1au,491770,-0.2838366610203613,0.2825901442325915,-0.02079797663953019,-0.00511181787958651,-0.03837384560045968,3.134630192372672e-05,0.061953754011303305,0.05368412523989968,0.0488229590167159,0.04227479071521216,-0.056418299111304214,0.0301251099866065,-0.004181279463238851,0.02462133524481493,0.006905046602360032,-0.007590092209782214,-0.013980174348034299,0.025687433767585213,0.023096646433457796,0.017282496550443536,-0.03262639780593359,-0.016714978523826543,-0.007364777910460755,-0.010823829388763898,0.007188712322439553,0.0007268391929229328,0.0061091350059489895,0.0006607245668444341,0.0015067704121322421,0.00012930806783040974,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2-C42ak-C1-C1b-C42al,491781,-0.24671574957287062,0.4680775196979739,0.05704971633288,0.08774966617525469,-0.04761921040021799,-7.395764133155128e-05,-0.12540553825525808,0.016768015756077566,0.04781629006532817,-0.028945419555939614,0.013532967851979567,-0.03197737187969627,0.021082148919588622,-0.027250285670261717,0.0036880033471968173,0.018044987850113554,0.002067327852012968,0.034167883335303746,-0.0081446731105111,-0.011895573908067041,0.014229116232194146,0.008194819930050687,-0.04218448856315983,-0.014436302534641898,0.005009651870014384,0.011219341093335927,0.004149787122257876,-0.00479315573939878,-0.0013798942979064699,0.0002149669198550435,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C1b,493329,-0.21529602629621783,0.27379644052384366,0.08634171570277352,0.0359490395389041,-0.02135899500025802,1.2669740659754569e-05,0.016900807436115262,0.022533674981624202,-0.00886662554211258,-0.023888539821074226,-0.0002649817853651654,-0.029443053486124058,-0.007305097504905638,-0.008257477676224267,-0.0013880674985261771,-0.03893739152211338,-0.010267049007509455,0.003906916383686494,-0.039650314277264745,0.01815624405593104,0.013531991983152556,-0.026550146167583815,0.013701652503968351,0.009166574910159195,0.01610425397537736,-0.0026459639563794794,-0.00628344493237279,0.0007505456616003369,0.001023940950684802,9.997165492862631e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
